"","id","name","popularity","followers.total","genres","type","total_num_songs","main_genre","degree","betweenness","eigenvector"
"3418","5rX1EodZfwxmW4fQX2Caot","Jonny Lang",50,202863,"blues;blues rock;electric blues;modern blues;modern blues rock","non_billboard",NA,"jazz, soul, r&b",3,1456.7093444017,0.000426632269171674
"3419","0qu422H5MOoQxGjd4IzHbS","Yves Tumor",62,202838,"art pop;escape room;experimental r&b","non_billboard",NA,"jazz, soul, r&b",1,0,0.0003104497497735
"3420","5vSQUyT33qxr1xAX2Tkf3A","Clams Casino",63,202802,"escape room;experimental hip hop;psychedelic hip hop;underground hip hop;wave;witch house","non_billboard",NA,"edm, techno, house",5,65867.2809511615,0.00253117024980489
"3421","3ghCvruix2FYZ81DHRlOt1","BLOO",57,202761,"k-rap","non_billboard",NA,"hip hop, rap",1,0,0.000363332973144684
"3422","3amwMyDd1uxTBoUZlazZ9m","Brooke Candy",51,202716,"dance pop;electropop;escape room;hyperpop;lgbtq+ hip hop;pop;strut;trap queen","non_billboard",NA,"hip hop, rap",3,652.434481601764,0.00299182818301299
"3423","6A7uqgC2N1nUhrCLAytHxN","PUP",56,202664,"alternative emo;bubblegrunge;canadian indie;canadian pop punk;canadian punk;emo;indie punk;modern rock;toronto indie","billboard",NA,"rock",1,0,0.000220414852573353
"3424","4igDSX1kgfWbVTDCywcBGm","Johnnyswim",62,202641,"acoustic pop;folk-pop;indie folk;indiecoustica;neo mellow;stomp and holler","billboard",85,"pop",7,71040.1983826213,9.17763146700736e-05
"3425","4nts0oxMT67lVUoi5Kjxrb","Solomon Burke",62,202488,"classic soul;funk;motown;soul;soul blues;southern soul","non_billboard",NA,"jazz, soul, r&b",1,0,2.19018348394765e-05
"3426","3cQA9WH8liZfeja1DxcDYE","Armand Van Helden",65,202417,"deep house;disco house;edm;electro house;house;speed garage;uk dance;vocal house","non_billboard",NA,"edm, techno, house",17,131994.483398407,0.0363831144500527
"3427","6iWuBN32BqCJAeXW6o3nil","Cautious Clay",65,201902,"alternative r&b;chill r&b;indie r&b;nyc pop","non_billboard",NA,"jazz, soul, r&b",2,696.425582011184,0.000572292891560967
"3428","5s4z3mRAE7nxE3jjft8J3h","John Mayall",47,201687,"blues;blues rock;british blues;classic rock;country rock;electric blues;harmonica blues;modern blues","non_billboard",NA,"country",1,0,6.1014222750643e-05
"3429","202HZzqKvPsMHcbwnDZx7u","Dorian Electra",58,201618,"art pop;escape room;hyperpop","non_billboard",NA,"pop",2,0,0.00219382113505125
"3430","45m1IiS45uD1HcPlYkNWKj","A$AP ANT",57,201607,"baltimore hip hop;drill;underground hip hop;vapor trap","non_billboard",NA,"hip hop, rap",1,0,0.00122366423719785
"3431","3534yWWzmxx8NbKVoNolsK","Wolfgang Gartner",52,201602,"complextro;edm;electro house;house","non_billboard",NA,"edm, techno, house",4,9180.79288142781,0.00828373164608712
"3432","0AiTwNtYX8m4uhfU7rJ8RD","Ani DiFranco",51,201592,"anti-folk;buffalo ny indie;ectofolk;folk;lilith;pop rock;singer-songwriter;women's music","non_billboard",NA,"rock",2,1228.32085745773,9.59097659704413e-05
"3433","6r1Xmz7YUD4z0VRUoGm8XN","Leon Russell",53,201585,"blues rock;classic rock;country rock;folk;folk rock;mellow gold;outlaw country;piano rock;roots rock;singer-songwriter;soft rock;swamp rock","non_billboard",NA,"country",4,2571.81262573476,0.00135676313102169
