"","album_type","album_release_date","album_release_year","danceability","energy","key","speechiness","valence","tempo","track_id","artists","duration_ms","track_name","album_name","mode_name","key_mode","artist_ids","track_popularity"
"310","single","2018-06-19",2018,0.663,0.696,9,0.103,0.738,180.113,"4f4vVEO5unhL369hL4LfuN","Nicky Jam;J Balvin;Maluma;Ozuna",235746,"X","X (Remix)","minor","A minor","1SupJlEpv7RS2tPNRaHViT;1vyhD5VmyZ7KMfW5gqLgo5;1r4hJ1h58CWwUQe3MxPuau;1i8SpTcr7yvPOmcqrbnVXY",44
"311","single","2018-06-08",2018,0.744,0.686,6,0.0356,0.438,127.052,"14WIiWOJXL5VkX1zpt87Ed","Sky Rompiendo;J Balvin;Ozuna",219746,"Karma","Karma","minor","F# minor","51XrH5fQP2oIQynuKxSWcW;1vyhD5VmyZ7KMfW5gqLgo5;1i8SpTcr7yvPOmcqrbnVXY",48
"312","single","2018-05-31",2018,0.757,0.885,9,0.257,0.657,105.967,"1lBqTGQ0nX1JeA2m7T51ux","J Balvin;G-Eazy;Sfera Ebbasta;Anitta;MC Fioti;Duki;Jeon",291413,"Machika - Remix","Machika (Remix)","major","A major","1vyhD5VmyZ7KMfW5gqLgo5;02kJSzxNuaWGqwubyUba0Z;23TFHmajVfBtlRx5MXqgoz;7FNnA9vBm6EKceENgCGRMb;2W6kbe0nm96COrHzNmfLLd;1bAftSH8umNcGZ0uyV7LMg;3ECsaSd1fom8coUUkkFzqt",50
"313","single","2018-05-17",2018,0.828,0.762,1,0.095,0.862,90.004,"4aRnbkS1mFoJgFVUP6hEew","J Balvin",191973,"Dónde Estarás","Dónde Estarás","major","C# major","1vyhD5VmyZ7KMfW5gqLgo5",48
"314","single","2018-05-11",2018,0.801,0.812,7,0.0587,0.699,87.971,"1RTlTuLOdnmgbe11ynwR7c","J Balvin;Zion & Lennox",251266,"No Es Justo","No Es Justo","major","G major","1vyhD5VmyZ7KMfW5gqLgo5;21451j1KhjAiaYKflxBjr1",65
"315","single","2018-05-11",2018,0.859,0.794,10,0.0641,0.45,128.024,"0xtNiNeoFJ2kCEbBvSVkGn","MC Fioti;J Balvin;Future",251250,"Bum Bum Tam Tam - Tiësto & Swacq Remix","Bum Bum Tam Tam (Tiësto & Swacq Remix)","minor","A# minor","2W6kbe0nm96COrHzNmfLLd;1vyhD5VmyZ7KMfW5gqLgo5;1RyvyyTE3xzB2ZywiAwp0i",7
"316","single","2018-05-04",2018,0.791,0.879,1,0.0457,0.632,140.007,"37eNjXNfxGEKpWP7VIwMtI","Jhay Cortez;J Balvin",234293,"Están Pa´ Mí","Están Pa´ Mí","major","C# major","0EFisYRi20PTADoJrifHrz;1vyhD5VmyZ7KMfW5gqLgo5",37
"317","single","2018-04-30",2018,0.745,0.713,2,0.0584,0.72,118.009,"6cXhFE4IB59Z1AzdxHhadY","J Balvin;Michael Brun",173173,"Positivo","Positivo","minor","D minor","1vyhD5VmyZ7KMfW5gqLgo5;1HcAkAeL4xf02wzAnl7mIV",46
"318","single","2018-04-27",2018,0.723,0.88,10,0.0405,0.531,127.988,"4cEi62EpOgyLX5N3ewGOjG","MC Fioti;J Balvin;Stefflon Don;David Guetta",249374,"Bum Bum Tam Tam - David Guetta Remix","Bum Bum Tam Tam (David Guetta Remix)","minor","A# minor","2W6kbe0nm96COrHzNmfLLd;1vyhD5VmyZ7KMfW5gqLgo5;2ExGrw6XpbtUAJHTLtUXUD;1Cs0zKBU1kc0i8ypK3B9ai",38
"319","single","2018-04-27",2018,0.723,0.879,10,0.0405,0.524,127.991,"2pWjyYsucsnARvbAc7YgLO","MC Fioti;J Balvin;Stefflon Don;David Guetta",249374,"Bum Bum Tam Tam - David Guetta Remix","Bum Bum Tam Tam (David Guetta Remix)","minor","A# minor","2W6kbe0nm96COrHzNmfLLd;1vyhD5VmyZ7KMfW5gqLgo5;2ExGrw6XpbtUAJHTLtUXUD;1Cs0zKBU1kc0i8ypK3B9ai",19
