"","id","name","popularity","followers.total","genres","type","total_num_songs"
"143","1vyhD5VmyZ7KMfW5gqLgo5","J Balvin",95,30359545,"latin;reggaeton;reggaeton colombiano;trap latino","billboard",491
"144","3jK9MiCrA42lLAdMGUZpwa","Anderson .Paak",82,1976668,"escape room","billboard",239
"145","0ghlgldX5Dd6720Q3qFyQB","TOMORROW X TOGETHER",81,4756595,"k-pop;k-pop boy group","billboard",91
"146","1mcTU81TzQhprhouKaTkpq","Rauw Alejandro",93,7289622,"puerto rican pop;trap latino","billboard",178
"147","0wz0jO9anccPzH04N7FLBH","Low",56,184208,"alternative rock;art pop;art rock;chamber psych;dream pop;duluth indie;freak folk;indie rock;melancholia;modern alternative rock;slowcore","billboard",306
"148","0LcJLqbBmaGUft1e9Mm8HV","ABBA",84,6672680,"europop;swedish pop","billboard",196
"149","3oDbviiivRWhXwIE8hxkVV","The Beach Boys",75,3347284,"baroque pop;brill building pop;classic rock;psychedelic rock;rock;sunshine pop","billboard",1102
"150","4NpFxQe2UvRCAjto3JqlSl","Greta Van Fleet",75,1762433,"modern blues rock;modern hard rock;rock","billboard",38
"151","20JZFwl6HVl6yg8a4H3ZqK","Panic! At The Disco",81,10974329,"modern rock","billboard",197
"152","66lH4jAE7pqPlOlzUKbwA0","Miranda Lambert",74,2910404,"contemporary country;country;country dawn;country road","billboard",154
"153","5Pwc4xIPtQLFEnJriah9YJ","OneRepublic",85,12555088,"dance pop;neo mellow;piano rock;pop;pop rock","billboard",298
"154","4V8LLVI7PbaPR0K2TGSxFF","Tyler, The Creator",87,7173031,"hip hop;rap","billboard",219
"155","64KEffDW9EtZ1y2vBYgq8T","Marshmello",87,32300887,"brostep;edm;pop;pop dance;progressive electro house","billboard",253
"156","3CjlHNtplJyTf9npxaPl5w","CHVRCHES",70,1263800,"electropop;indie pop;indie poptimism;metropopolis;neo-synthpop;pop rock;shimmer pop","billboard",640
"157","2qnpHrOzdmOo1S4ox3j17x","Turnstile",66,175283,"hardcore punk","billboard",91
"158","6Xgp2XMz1fhVYe7i6yNAax","Trippie Redd",88,6776028,"melodic rap;rap;trap","billboard",276
"159","7gXy60xRcwYujBFoYHnR2O","Big Red Machine",65,116308,"eau claire indie;folktronica;indie pop","billboard",42
"160","163tK9Wjr9P9DmM0AVK7lm","Lorde",82,8485542,"art pop;dance pop;electropop;metropopolis;nz pop;pop","billboard",140
"161","22bE4uQ6baNwSHPVcDxLCe","The Rolling Stones",82,10902123,"british invasion;classic rock;rock","billboard",706
"162","2gBjLmx6zQnFGQJCAQpRgw","Nelly",79,1909659,"dance pop;hip hop;pop rap;rap;southern hip hop;st louis rap;urban contemporary","billboard",667
"163","4Ga1P7PMIsmqEZqhYZQgDo","Lil Tecca",84,4374337,"melodic rap;rap;trap","billboard",140
"164","3vDpQbGnzRbRVirXlfQagB","Sturgill Simpson",67,557517,"alternative americana;kentucky roots;nashville singer-songwriter;new americana;outlaw country","billboard",188
"165","5Yu3b48Y29bZlI1cLPOZJz","Danny Gokey",62,264456,"ccm;christian music;idol","billboard",187
"166","0C0XlULifJtAgn6ZNCW2eu","The Killers",80,6233262,"alternative rock;dance rock;modern rock;permanent wave;rock","billboard",290
"167","6s22t5Y3prQHyaHWUN1R1C","AJR",78,1991277,"modern rock","billboard",442
"168","4XpPveeg7RuYS3CgLo75t9","Deafheaven",52,171370,"atmospheric black metal;blackgaze;post-metal;usbm","billboard",50
"169","7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes",88,34943043,"canadian pop;dance pop;pop;viral pop","billboard",138
"170","1uU7g3DNSbsu0QjSEqZtEd","Masked Wolf",77,457553,"australian hip hop","billboard",91
"171","4nDoRrQiYLoBzwC5BhVJzF","Camila Cabello",85,23835015,"dance pop;pop;post-teen pop","billboard",84
"172","30e8DmahrEamvLbFRPdWmk","Justin Moore",67,1445394,"arkansas country;contemporary country;country;country road;modern country rock;redneck","billboard",150
"173","1VPmR4DJC1PlOtd0IADAO0","$uicideboy$",87,3787180,"dark trap;new orleans rap;underground hip hop","billboard",329
"174","1cNDP5yjU5vjeR8qMf4grg","YNW Melly",80,6677443,"melodic rap;trap","billboard",133
"175","7FIoB5PHdrMZVC3q2HE5MS","George Harrison",70,1972095,"album rock;beatlesque;classic rock;folk rock;mellow gold;rock;soft rock","billboard",164
"176","6TIYQ3jFPwQSRmorSezPxX","Machine Gun Kelly",86,4082071,"ohio hip hop","billboard",299
"177","1w5Kfo2jwwIPruYS2UWh56","Pearl Jam",78,7063248,"grunge;permanent wave;rock","billboard",296
"178","6qGkLCMQkNGOJ079iEcC5k","Ben Platt",72,415659,"hollywood;pop;show tunes","billboard",72
"179","35GL8Cu2GKTcHzKGi75xl5","Jennifer Hudson",63,1385635,"dance pop;hip pop;hollywood;neo soul;pop;r&b;urban contemporary","billboard",206
"180","4BYxqVkZyFjtik7crYLg5Q","Chris Young",72,2332818,"contemporary country;country;country road;modern country rock","billboard",110
"181","6jGMq4yGs7aQzuGsMgVgZR","Lil Tjay",85,3976461,"brooklyn drill;melodic rap;nyc rap","billboard",131
"182","4UFShyUQuA8dguoZrqX0jQ","Luke Hemmings",63,217556,"pop","billboard",15
"183","6XYvaoDGE0VmRt83Jss9Sn","King Gizzard & The Lizard Wizard",65,706054,"australian indie;australian psych;double drumming;microtonal;neo-psychedelic","billboard",687
"184","7jmTilWYlKOuavFfmQAcu6","Barbra Streisand",67,1039099,"adult standards;mellow gold;soft rock","billboard",802
"185","20qISvAhX20dpIbOOzGK3q","Nas",78,2558090,"conscious hip hop;east coast hip hop;gangster rap;hardcore hip hop;hip hop;queens hip hop;rap","billboard",569
"186","1U1el3k54VvEUzo3ybLPlM","Kali Uchis",83,2193721,"colombian pop;pop","billboard",71
"187","1KCSPY1glIKqW2TotWuXOR","P!nk",84,11960260,"dance pop;pop","billboard",378
"188","6oMuImdp5ZcFhWP0ESe6mG","Migos",83,11852196,"atl hip hop;rap;trap","billboard",485
"189","45dkTj5sMRSjrmBSBeiHym","Tate McRae",82,1906208,"alt z;dance pop;pop;post-teen pop","billboard",47
"190","1mfDfLsMxYcOOZkzBxvSVW","Cole Swindell",68,1665709,"contemporary country;country;country road;modern country rock","billboard",94
"191","0k17h0D3J5VfsdmQ1iZtE9","Pink Floyd",82,15618011,"album rock;art rock;classic rock;progressive rock;psychedelic rock;rock;symphonic rock","billboard",406
"192","2eam0iDomRHGBypaDQLwWI","Bleachers",68,503665,"double drumming;indie pop;indie poptimism;modern alternative rock;modern rock;pop rock","billboard",126
"193","6aaMZ3fcfLv4tEbmY7bjRM","Isaiah Rashad",74,1005719,"hip hop;rap;tennessee hip hop;underground hip hop","billboard",76
"194","3qnGvpP8Yth1AqSBMqON5x","Leon Bridges",75,1301271,"modern blues","billboard",56
"195","610EjgFatGvVPtib97jQ8G","NEEDTOBREATHE",70,696481,"ccm;christian alternative rock;christian indie;christian music;folk-pop;indiecoustica;neo mellow;worship","billboard",238
"196","6TVVIyd0fsRDGg6WzHKyTP","Durand Jones & The Indications",61,187054,"funk;indie soul;soul","billboard",39
"197","2AM4ilv6UzW0uMRuqKtDgN","ZZ Top",72,3270205,"album rock;blues rock;classic rock;country rock;hard rock;rock","billboard",228
"198","0Z8XVUAOBPM4x12wKnFHEQ","Parker McCollum",70,166660,"contemporary country;texas country","billboard",45
"199","6cK3NBO6uP7hh0oyuVELFl","Saweetie",82,1358128,"cali rap;dance pop;pop;pop rap;r&b;trap queen","billboard",129
"200","4STHEaNw4mPZ2tzheohgXB","Paul McCartney",73,3707846,"album rock;art rock;beatlesque;classic rock;mellow gold;rock;soft rock","billboard",1068
"201","0hEurMDQu99nJRq8pTxO14","John Mayer",82,5278018,"neo mellow;pop rock;singer-songwriter","billboard",153
"202","5lkiCO9UQ8B23dZ1o0UV4m","Jackson Browne",66,948755,"album rock;classic rock;country rock;folk;folk rock;heartland rock;mellow gold;piano rock;rock;roots rock;singer-songwriter;soft rock","billboard",187
"203","4FlG0V0jhLO4qGpayFOphj","EST Gee",71,87761,"kentucky hip hop;rap;southern hip hop;trap","billboard",159
"204","3KNIG74xSTc3dj0TRy7pGX","Yung Bleu",71,917012,"alabama rap;pop r&b;pop rap;r&b;trap","billboard",158
"205","1FGH4Bh7g9W6V4fUcKZWp5","Descendents",57,326475,"melodic hardcore;punk;ska punk;skate punk","billboard",195
"206","7jy3rLJdDQY21OgRLCZ9sD","Foo Fighters",80,9205364,"alternative metal;alternative rock;modern rock;permanent wave;post-grunge;rock","billboard",204
