"","id","name","popularity","followers.total","genres","type","total_num_songs","main_genre","degree","betweenness","eigenvector"
"13","7wlFDEWiM5OoIAt8RSli8b","YoungBoy Never Broke Again",87,7680553,"baton rouge rap;trap","billboard",477,"hip hop, rap",63,323289.12373382,0.289936888310543
"14","6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish",94,50852820,"electropop;pop","billboard",84,"pop",17,65264.1999945436,0.0212718840144039
"15","20sxb77xiYeusSH8cVdatc","Meek Mill",84,5498056,"hip hop;philly rap;pop rap;rap;southern hip hop;trap","billboard",642,"pop",172,1364324.94163403,0.70540360425969
"16","4dpARuHxo51G3z768sgnrY","Adele",93,30044484,"british soul;pop;pop soul;uk pop","billboard",181,"jazz, soul, r&b",7,12052.4269282742,0.00098481837300161
"17","4oUHIQIBe0LHzYfvXNW4QM","Morgan Wallen",84,2410638,"contemporary country","billboard",162,"country",8,77407.8685555719,0.0112515832563691
"18","7sKxqpSqbIzphAKAhrqvlf","Walker Hayes",73,342755,"contemporary country;country;country road;modern country rock","billboard",73,"country",8,69014.1749900412,0.0023349989515416
"19","5f7VJjfbwm532GiveGC0ZK","Lil Baby",92,8510070,"atl hip hop;atl trap;rap;trap","billboard",232,"hip hop, rap",125,984685.175918179,0.413926661954447
"20","6YVMFz59CuY7ngCxTxjpxE","aespa",76,973910,"k-pop;k-pop girl group","billboard",12,"pop",3,43295,9.96403683594125e-05
"21","2LIk90788K0zvyj2JJVwkJ","Jack Harlow",90,1253780,"deep underground hip hop;kentucky hip hop;pop rap;rap","billboard",143,"pop",50,287901.034087505,0.162746746490125
"22","4YLtscXsxbVgi031ovDDdh","Chris Stapleton",79,3677499,"contemporary country;outlaw country","billboard",64,"country",16,157178.149086717,0.0138488328159588
"23","5K4W6rqBFWDnAN6FQUkS6x","Kanye West",95,15433148,"chicago rap;rap","billboard",468,"hip hop, rap",148,2026830.07602763,0.52454622318305
"24","6l3HvQ5sa6mXTsMTB19rO5","J. Cole",90,14759827,"conscious hip hop;hip hop;north carolina hip hop;rap","billboard",304,"hip hop, rap",90,656016.626569333,0.279873350060435
"25","6y8XlgIV8BLlIg1tT1R10i","Old Dominion",73,1082237,"contemporary country;country;country road","billboard",104,"country",4,21994.7125793776,9.48611432549791e-05
"26","2tIP7SsRs7vjIcLrU85W8J","The Kid LAROI",92,2740668,"australian hip hop","billboard",198,"hip hop, rap",26,77794.5115955771,0.0551280599641192
"27","246dkjvS1zLTtiykXe5h60","Post Malone",91,34561709,"dfw rap;melodic rap;rap","billboard",115,"hip hop, rap",55,159430.351168097,0.311081650436976
"28","0urTpYCsixqZwgNTkPJOJ4","Aaliyah",69,2903575,"dance pop;hip pop;pop;pop rap;r&b;urban contemporary","billboard",165,"jazz, soul, r&b",18,152203.431014141,0.0196503284650081
"29","6KImCVD70vtIoJWnq6nGn3","Harry Styles",87,17216622,"pop","billboard",31,"pop",0,0,0
"30","66CXWjxzNUsdJxJ2JdwvnR","Ariana Grande",93,70657637,"dance pop;pop","billboard",367,"pop",83,1954685.93799942,0.176591404544409
"31","3oSJ7TBVCWMDMiYjXNiCKE","Kane Brown",80,3658706,"contemporary country;country;country road","billboard",92,"country",45,338745.890420685,0.058592018408863
"32","1HY2Jd0NmPuamShAr6KMms","Lady Gaga",87,19585917,"dance pop;pop","billboard",610,"pop",155,3068046.19603686,0.0597258482309763
"33","3tJoFztHeIJkJWMrx0td2f","Moneybagg Yo",81,2404879,"hip hop;memphis hip hop;rap;southern hip hop;tennessee hip hop;trap","billboard",480,"hip hop, rap",101,578904.30962701,0.337043405869118
