"","id","name","popularity","followers.total","genres","type","total_num_songs"
"129","1NCLweIUpq8knzemBwAwoo","KOAN Sound",43,101874,"complextro;edm;electro house;filthstep;glitch;vapor twitch","non_billboard",NA
"130","6Wy7YUpendmqYEKtiDcVpl","Cast",38,442,NA,"non_billboard",NA
"131","6nfYGe7IIuuP5bMY1jkJP6","Jermaine Dupri",63,334084,"atl hip hop;dirty south rap;gangster rap;hip hop;hip pop;pop rap;rap;southern hip hop","non_billboard",NA
"132","2Mu5NfyYm8n5iTomuKAEHl","Ms. Lauryn Hill",75,2028278,"conscious hip hop;hip pop;neo soul;new jersey rap;r&b;urban contemporary","non_billboard",NA
"133","1W9qOBYRTfP7HcizWN43G1","Slick Rick",59,521881,"alternative hip hop;bronx hip hop;east coast hip hop;gangster rap;golden age hip hop;hardcore hip hop;hip hop;old school hip hop;rap","non_billboard",NA
"134","6LEeAFiJF8OuPx747e1wxR","Blood Orange",66,646517,"alternative r&b;art pop;chillwave;electropop;escape room;indie soul;metropopolis","non_billboard",NA
"135","62H6EXnv3OlRoSaMMJRz3a","Patricia Carey",37,90,NA,"non_billboard",NA
"136","46sXMHr9eHJYyO6uu0Jdeh","Lowsunday",36,92,"indie shoegaze","non_billboard",NA
"137","1Dda5nSx0Yn0LQFOCaWCnA","Ron Haney",13,98,NA,"non_billboard",NA
"138","02nqwOvmlIhYQtZ5kVqJZm","Cahill",54,1792,NA,"non_billboard",NA
"139","2f6jGbE8VU74rb5AQtOdFz","Seamus Haji",40,11084,"deep house;disco house;funky house;tribal house;vocal house","non_billboard",NA
"140","2JkHlHHNPSd8VcZMWRY301","Paul Emanuel",34,250,NA,"non_billboard",NA
"141","5I7l0lSOyusetwCv1aQPMf","Jump Smokers",42,5575,NA,"non_billboard",NA
"142","3MGEfiGnUqf9rRnsDXR1OV","Friscia And Lamboy",11,17,NA,"non_billboard",NA
"143","3aQeKQSyrW4qWr35idm0cy","T-Pain",81,3604194,"dance pop;hip hop;pop;pop rap;r&b;rap;southern hip hop;urban contemporary","non_billboard",NA
"144","3QJzdZJYIAcoET1GcfpNGi","Damian Marley",70,1272974,"reggae;reggae fusion","non_billboard",NA
"145","2I1bnmb9VQEQGKHxvr0gSf","Da Brat",56,399344,"chicago rap;contemporary r&b;gangster rap;hip hop;hip pop;r&b;rap;urban contemporary","non_billboard",NA
"146","15GGbJKqC6w0VYyAJtjej6","Fatman Scoop",63,36126,"nyc rap","non_billboard",NA
"147","6vbY3hOaCAhC7VjucswgdS","Twista",70,785678,"chicago rap;dirty south rap;gangster rap;hip hop;pop rap;r&b;rap;trap;urban contemporary","non_billboard",NA
"148","2x8KDZdSONA3872CnhaAlX","Styles P",67,534593,"battle rap;east coast hip hop;gangster rap;hardcore hip hop;hip hop;rap;southern hip hop;trap","non_billboard",NA
"149","7iMvwE8qANp3aIfAGKEAwS","Cam’ron",64,547913,"battle rap;east coast hip hop;gangster rap;hardcore hip hop;harlem hip hop;hip hop;hip pop;pop rap;rap;southern hip hop;trap","non_billboard",NA
"150","2Jwr7hGoSNK3S3QBxh3T0z","Freeway",55,220769,"alternative hip hop;battle rap;gangster rap;hardcore hip hop;hip hop;hip pop;philly rap;rap;southern hip hop","non_billboard",NA
"151","49FeZO3eSrJs7oH7lYLU1r","Kelly Price",53,789732,"contemporary r&b;hip pop;neo soul;pop r&b;quiet storm;r&b;urban contemporary","non_billboard",NA
"152","3zTOe1BtyTkwNvYZOxXktX","Joe",68,1393670,"contemporary r&b;dance pop;hip pop;neo soul;r&b;urban contemporary","non_billboard",NA
"153","7JXCJDLGh1k9cg6JbYCpYl","Flipmode Squad",61,14497,"east coast hip hop;hardcore hip hop","non_billboard",NA
